city,instance_type,customer_pattern,time_window_tightness,node_elevation_provider,compute_matrices,run_energy_feasibility,n_customers,n_stations,n_depots,n_satellites,generation_time_s_mean,generation_time_s_std,generation_time_s_min,generation_time_s_max,generation_time_s_count,road_graph_nodes_mean,road_graph_nodes_std,road_graph_nodes_min,road_graph_nodes_max,road_graph_nodes_count,road_graph_edges_mean,road_graph_edges_std,road_graph_edges_min,road_graph_edges_max,road_graph_edges_count
Paris,multi_depot_evrptw,c,medium,srtm,True,True,200,60,3,0,237.0987424,96.47343462298778,169.481401,384.891635,5,9236.0,0.0,9236,9236,5,17844.0,0.0,17844,17844,5
Paris,multi_depot_evrptw,r,medium,srtm,True,True,200,60,3,0,315.2831812,127.52908292206165,175.889252,431.53963,5,9236.0,0.0,9236,9236,5,17844.0,0.0,17844,17844,5
Paris,multi_depot_evrptw,rc,medium,srtm,True,True,200,60,3,0,401.2855344,28.45210217318997,352.501928,421.656711,5,9236.0,0.0,9236,9236,5,17844.0,0.0,17844,17844,5
Paris,two_echelon_evrp,c,medium,srtm,True,True,200,60,1,4,146.767463,3.641566608731132,143.632163,152.979128,5,9236.0,0.0,9236,9236,5,17844.0,0.0,17844,17844,5
Paris,two_echelon_evrp,r,medium,srtm,True,True,200,60,1,4,146.14855119999999,0.9914358048780526,144.829797,147.13804,5,9236.0,0.0,9236,9236,5,17844.0,0.0,17844,17844,5
Paris,two_echelon_evrp,rc,medium,srtm,True,True,200,60,1,4,447.91584140000003,679.1907298145373,143.459069,1662.888509,5,9236.0,0.0,9236,9236,5,17844.0,0.0,17844,17844,5
Shenzhen,classic_evrptw,c,medium,srtm,True,True,200,60,1,0,4353.657045800001,9426.990894124905,129.567494,21217.158227,5,45962.0,0.0,45962,45962,5,95045.0,0.0,95045,95045,5
Shenzhen,classic_evrptw,r,medium,srtm,True,True,200,60,1,0,752.5961302000001,1383.322673343456,132.876166,3227.158432,5,45962.0,0.0,45962,45962,5,95045.0,0.0,95045,95045,5
Shenzhen,classic_evrptw,rc,medium,srtm,True,True,200,60,1,0,6276.283036,13730.932159996344,133.880244,30838.920887,5,45962.0,0.0,45962,45962,5,95045.0,0.0,95045,95045,5
Shenzhen,multi_depot_evrptw,c,medium,srtm,True,True,200,60,3,0,386.41055700000004,167.90032367726417,245.154839,647.828669,5,45962.0,0.0,45962,45962,5,95045.0,0.0,95045,95045,5
Shenzhen,multi_depot_evrptw,r,medium,srtm,True,True,200,60,3,0,772.880371,685.7368621343339,464.818358,1999.562027,5,45962.0,0.0,45962,45962,5,95045.0,0.0,95045,95045,5
Shenzhen,multi_depot_evrptw,rc,medium,srtm,True,True,200,60,3,0,463.39568900000006,2.3798118108196116,460.838839,465.947199,5,45962.0,0.0,45962,45962,5,95045.0,0.0,95045,95045,5
Shenzhen,two_echelon_evrp,c,medium,srtm,True,True,200,60,1,4,278.4698354,2.2056013339283185,276.410184,282.156848,5,45962.0,0.0,45962,45962,5,95045.0,0.0,95045,95045,5
Shenzhen,two_echelon_evrp,r,medium,srtm,True,True,200,60,1,4,474.4056114,651.6943601543347,134.212241,1635.503541,5,45962.0,0.0,45962,45962,5,95045.0,0.0,95045,95045,5
Shenzhen,two_echelon_evrp,rc,medium,srtm,True,True,200,60,1,4,234.23138600000001,62.01636177248934,133.566451,276.270635,5,45962.0,0.0,45962,45962,5,95045.0,0.0,95045,95045,5
